Video_ID	Majority_Voting	Label	Target_Victimg	Componentg	Duration
BV1f8411b7Xz	Normal	['Normal', 'Normal']	[]	[]	[]
BV1em4y1B7bQ	Normal	['Normal', 'Normal']	[]	[]	[]
BV1FN41167Ei	Normal	['Normal', 'Normal']	[]	[]	[]
BV1nM411s72F	Offensive	['Offensive', 'Offensive']	[]	['Vision component', 'Metadata']	[(0, 12)]
BV1vQ4y1J7ZL	Offensive	['Offensive', 'Hateful', 'Offensive']	['Woman']	['Audio', 'Metadata']	[(0, 12)]
BV1NG411d7A6	Hateful	['Offensive', 'Hateful', 'Hateful']	['Woman']	['Vision component', 'Transcript', 'Metadata']	[(7, 21)]
BV1Hv41147NT	Normal	['Counter Narrative', 'Normal']	[]	[]	[]
BV16v4y1j7xk	Normal	['Hateful', 'Normal', 'Normal']	['Woman', 'children']	['Metadata']	[]
BV1YW4y127gs	Normal	['Normal', 'Normal']	[]	[]	[]
BV11P411x729	Normal	['Normal', 'Normal']	[]	[]	[]
BV1YA411r78E	Offensive	['Offensive', 'Offensive']	['Woman']	['Audio', 'Vision component', 'Transcript', 'Metadata']	[(0, 24)]
BV1By4y1N74T	Offensive	['Offensive', 'Normal', 'Offensive']	[]	['Vision component', 'Transcript', 'Metadata']	[(0, 22)]
BV13M411D7Yq	Normal	['Normal', 'Normal']	[]	[]	[]
BV1od4y1J7DX	Normal	['Normal', 'Normal']	[]	[]	[]
BV1NM41137FM	Normal	['Offensive', 'Normal', 'Normal']	['Man']	['Audio', 'Vision component', 'Metadata']	[(0, 32)]
BV1oT4y1b7fT	Offensive	['Offensive', 'Offensive']	['Woman']	['Transcript', 'Metadata']	[(0, 41)]
BV18v4y187td	Hateful	['Hateful', 'Hateful']	['Man', 'Taiwanese']	['Vision component', 'Transcript', 'Metadata']	[(0, 12)]
BV1Mi4y1u7WX	Normal	['Offensive', 'Normal', 'Normal']	['Woman']	['Metadata']	[]
BV1YQ4y1C7gV	Hateful	['Hateful', 'Hateful']	['Man', 'LGBTQ']	['Vision component', 'Transcript', 'Metadata']	[(0, 29)]
BV1Uh411p7nE	Normal	['Normal', 'Normal']	[]	[]	[]
BV1sQ4y1f7vn	Normal	['Normal', 'Normal']	[]	[]	[]
BV1zu41117e3	Offensive	['Offensive', 'Normal', 'Offensive']	['Woman']	['Audio', 'Vision component', 'Metadata']	[(0, 46)]
BV1fp4y1M7HW	Normal	['Offensive', 'Normal', 'Normal']	['Woman']	['Vision component', 'Metadata']	[(0, 36)]
BV1Lf4y1f7a3	Normal	['Normal', 'Normal']	[]	[]	[]
BV1ka4y1m7Ti	Normal	['Normal', 'Normal']	[]	[]	[]
BV1VC4y1H73M	Offensive	['Offensive', 'Hateful', 'Offensive']	['Woman']	['Audio', 'Metadata']	[(0, 13)]
BV1Rw411T76e	Hateful	['Offensive', 'Hateful', 'Hateful']	['Woman', 'Man']	['Audio', 'Vision component', 'Transcript', 'Metadata']	[(0, 14)]
BV1aP411k7xv	Offensive	['Offensive', 'Hateful', 'Offensive']	[]	['Audio', 'Transcript', 'Metadata']	[(0, 21)]
BV1xZ4y117VY	Normal	['Normal', 'Normal']	[]	[]	[]
BV1FY411u7Je	Normal	['Offensive', 'Normal', 'Normal']	[]	['Vision component', 'Metadata']	[]
BV1ru411X7TR	Hateful	['Hateful', 'Offensive', 'Hateful']	['Regional discrimination', 'Man']	['Transcript', 'Metadata']	[(16, 40)]
BV1yq4y1D7mz	Normal	['Normal', 'Normal']	[]	[]	[]
BV1se411H7hJ	Offensive	['Offensive', 'Offensive']	[]	['Audio', 'Vision component', 'Transcript', 'Metadata']	[(0, 20)]
BV11N411v7pX	Normal	['Normal', 'Normal']	[]	[]	[]
BV19T411379q	Normal	['Normal', 'Normal']	[]	[]	[]
BV19m4y1b7UC	Offensive	['Offensive', 'Offensive']	['Man']	['Transcript', 'Metadata']	[(15, 41)]
BV1KK411x79L	Normal	['Normal', 'Normal']	[]	[]	[]
BV1664y1p7E9	Normal	['Normal', 'Normal']	[]	[]	[]
