Video_ID	Majority_Voting	Label	Target_Victimg	Componentg	Duration
4V0KGql_fUI	Normal	['Normal', 'Normal']	[]	[]	[]
5snzFreG79c	Offensive	['Offensive', 'Offensive']	['Couple']	['Transcript', 'Audio', 'Metadata']	[(30, 39)]
EyE82W10wgk	Normal	['Normal', 'Counter Narrative']	[]	[]	[]
booWGzwRBOs	Normal	['Normal', 'Normal']	[]	[]	[]
1P9ZSzSS14I	Normal	['Normal', 'Normal']	[]	[]	[]
3v7239cr4z0	Hateful	['Hateful', 'Counter Narrative', 'Hateful']	['LGBTQ']	['Vision component', 'Transcript', 'Audio', 'Metadata']	[(0, 46)]
LgPnUK567xg	Normal	['Normal', 'Normal']	[]	[]	[]
-7MtNUa-zRA	Normal	['Normal', 'Normal']	[]	[]	[]
MYZHHZlPHSk	Normal	['Normal', 'Normal']	[]	[]	[]
o5SVi1iEcSM	Normal	['Normal', 'Normal']	[]	[]	[]
ZhEmKckbPXo	Normal	['Normal', 'Normal']	[]	[]	[]
MJqJaTgSM9A	Normal	['Normal', 'Normal']	[]	[]	[]
TZRqW_SDxW4	Normal	['Normal', 'Normal']	[]	[]	[]
a7maE5RoFPk	Hateful	['Hateful', 'Offensive', 'Hateful']	['LGBTQ', 'Woman']	['Vision component', 'Audio', 'Metadata']	[(1, 4)]
Z2L6VTY7PSs	Normal	['Normal', 'Normal']	[]	[]	[]
Pywnms7RoBs	Normal	['Normal', 'Normal']	[]	[]	[]
4JUFqX-okGc	Normal	['Normal', 'Normal']	[]	[]	[]
wEHCyODs45w	Normal	['Normal', 'Normal']	[]	[]	[]
zK2fH9ZKCas	Normal	['Normal', 'Normal']	[]	[]	[]
IbHu0XGqH6M	Offensive	['Offensive', 'Offensive']	['Woman']	['Transcript', 'Metadata']	[(30, 58)]
zULXbRSOslk	Normal	['Hateful', 'Normal', 'Normal']	['LGBTQ']	['Transcript', 'Audio']	[(20, 47)]
mLV9209I9Po	Normal	['Counter Narrative', 'Normal']	[]	[]	[]
5lx44-lko-U	Normal	['Normal', 'Normal']	[]	[]	[]
yF4hjLPhV_s	Hateful	['Hateful', 'Offensive', 'Hateful']	['Woman', 'Man']	['Transcript', 'Audio', 'Metadata']	[(1, 47)]
w2K-y-UA1po	Hateful	['Offensive', 'Hateful', 'Hateful']	['Woman']	['Vision component', 'Transcript', 'Audio', 'Metadata']	[(0, 29)]
u8jPjTXK2yE	Normal	['Normal', 'Normal']	[]	[]	[]
PWsELh8yk7o	Offensive	['Normal', 'Offensive', 'Offensive']	[]	['Transcript', 'Metadata']	[(10, 15)]
gaOtEpYGmQY	Normal	['Normal', 'Normal']	[]	[]	[]
vKUMDFcHLlw	Normal	['Normal', 'Normal']	[]	[]	[]
2CiUE95cOr8	Normal	['Normal', 'Normal']	[]	[]	[]
uqnqHKANAqc	Normal	['Normal', 'Normal']	[]	[]	[]
e-XqcRbBVi4	Offensive	['Offensive', 'Offensive']	[]	['Transcript']	[(10, 15)]
jThPo4J_lRU	Hateful	['Offensive', 'Hateful', 'Hateful']	['Woman']	['Vision component', 'Transcript', 'Audio', 'Metadata']	[(0, 60)]
Jq8VzqMS9ew	Normal	['Normal', 'Normal']	[]	[]	[]
kAWKX340Jlk	Hateful	['Hateful', 'Hateful']	['Muslim']	['Transcript', 'Metadata']	[(1, 18)]
PByXn9KYTKU	Normal	['Normal', 'Normal']	[]	[]	[]
WEABal38TxQ	Normal	['Normal', 'Normal']	[]	[]	[]
cWZvaoU_9Ro	Normal	['Hateful', 'Normal', 'Normal']	['LGBTQ']	['Transcript', 'Audio']	[]
14opKv7h25A	Normal	['Normal', 'Normal']	[]	[]	[]
lO8wsXT8nxU	Offensive	['Offensive', 'Offensive']	[]	['Vision component']	[(23, 47)]
1W2naexzq00	Normal	['Normal', 'Normal']	[]	[]	[]
